ردیف,نام فارسی,برچسب موجود در CRM,نام انگلیسی / LogicalName,نوع فیلد انگلیسی,نوع فیلد فارسی,قابل خواندن,وضعیت نام فارسی
1,برچسب فارسی در CRM ثبت نشده,Case Service Old,brd_caseserviceold,String,رشته‌ای,بله,نیازمند تعیین برچسب توسط مالک CRM
2,برچسب فارسی در CRM ثبت نشده,Record Created On,overriddencreatedon,DateTime,تاریخ و زمان,بله,نیازمند تعیین برچسب توسط مالک CRM
3,برچسب فارسی در CRM ثبت نشده,ثبت نشده,createdbyname,String,رشته‌ای,بله,نیازمند تعیین برچسب توسط مالک CRM
4,برچسب فارسی در CRM ثبت نشده,ثبت نشده,firstresponsebykpiidname,String,رشته‌ای,بله,نیازمند تعیین برچسب توسط مالک CRM
5,برچسب فارسی در CRM ثبت نشده,ثبت نشده,brd_accountyominame,String,رشته‌ای,بله,نیازمند تعیین برچسب توسط مالک CRM
6,برچسب فارسی در CRM ثبت نشده,ثبت نشده,resolvebyslastatusname,Virtual,محاسباتی/نمایشی,بله,نیازمند تعیین برچسب توسط مالک CRM
7,برچسب فارسی در CRM ثبت نشده,ثبت نشده,brd_phasename,Virtual,محاسباتی/نمایشی,بله,نیازمند تعیین برچسب توسط مالک CRM
8,برچسب فارسی در CRM ثبت نشده,ثبت نشده,checkemailname,Virtual,محاسباتی/نمایشی,بله,نیازمند تعیین برچسب توسط مالک CRM
9,برچسب فارسی در CRM ثبت نشده,ثبت نشده,productidname,String,رشته‌ای,بله,نیازمند تعیین برچسب توسط مالک CRM
10,برچسب فارسی در CRM ثبت نشده,BacklogID,brd_backlogid,String,رشته‌ای,بله,نیازمند تعیین برچسب توسط مالک CRM
11,مهلت حل,Resolve By,resolveby,DateTime,تاریخ و زمان,بله,ترجمه کنترل‌شده
12,برچسب فارسی در CRM ثبت نشده,ثبت نشده,statecodename,Virtual,محاسباتی/نمایشی,بله,نیازمند تعیین برچسب توسط مالک CRM
13,برچسب فارسی در CRM ثبت نشده,Different Actual Effort & Estimate Size,brd_differentactualeffortestimatesize,Decimal,عدد اعشاری,بله,نیازمند تعیین برچسب توسط مالک CRM
14,برچسب فارسی در CRM ثبت نشده,PlannedCase Old,brd_plannedcaseold,String,رشته‌ای,بله,نیازمند تعیین برچسب توسط مالک CRM
15,برچسب فارسی در CRM ثبت نشده,ثبت نشده,brd_casesideeffectname,Virtual,محاسباتی/نمایشی,بله,نیازمند تعیین برچسب توسط مالک CRM
16,برچسب فارسی در CRM ثبت نشده,Account,brd_account,Lookup,ارتباط با رکورد دیگر,بله,نیازمند تعیین برچسب توسط مالک CRM
17,برچسب فارسی در CRM ثبت نشده,ثبت نشده,socialprofileidname,String,رشته‌ای,بله,نیازمند تعیین برچسب توسط مالک CRM
18,برچسب فارسی در CRM ثبت نشده,Diag,brd_diag,Picklist,انتخابی,بله,نیازمند تعیین برچسب توسط مالک CRM
19,برچسب فارسی در CRM ثبت نشده,Billed Service Units,billedserviceunits,Integer,عدد صحیح,بله,نیازمند تعیین برچسب توسط مالک CRM
